row.name,subject,Cuba,Hispaniola,Jamaica,Puerto_Rico,Guadeloupe,Martinique,Dominica,St_Lucia,Barbados,St_Vincent,Grenada,Antigua,St_Croix,Grand_Cayman,St_Kitts,Barbuda,Montserrat,St_Martin,St_Thomas,exx,exy ,exz,grp,rexx,rexy,rexz,rgrp
Carduelis_dominicensis,a,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,g,1,4,1,g
Loxia_leucoptera,a,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,k,5,7,2,k
Volatinia_jacarina,a,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,9,3,l,8,9,3,l
Sporophila_nigricollis,a,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.66666667,31.66666667,4,g,11.66666667,31.66666667,4,g
Melopyrrha_nigra,a,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.16666667,34.16666667,5,k,15.16666667,34.16666667,5,k
Loxigilla_portoricensis,a,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.66666667,36.66666667,6,l,18.66666667,36.66666667,6,l
Loxigilla_violacea,a,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.16666667,39.16666667,7,g,22.16666667,39.16666667,7,g
Loxigilla_noxis,a,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,25.66666667,41.66666667,8,k,25.66666667,41.66666667,8,k
Melanospiza_richardsoni,a,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29.16666667,44.16666667,9,l,29.16666667,44.16666667,9,l
Tiara_olivacea,a,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32.66666667,11.66666667,10,g,32.66666667,11.66666667,10,g
Tiara_bicolor,a,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,36.16666667,14.16666667,11,k,36.16666667,14.16666667,11,k
Tiara_canora,a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.66666667,16.66666667,12,l,39.66666667,16.66666667,12,l
Loxipasser_anoxanthus,a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.16666667,19.16666667,13,g,43.16666667,19.16666667,13,g
Saltator_albicollis,a,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,46.66666667,21.66666667,14,k,46.66666667,21.66666667,14,k
Torreornis_inexpectata,a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.16666667,24.16666667,15,l,50.16666667,24.16666667,15,l
Ammodramus_savannarum,a,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.66666667,26.66666667,16,g,53.66666667,26.66666667,16,g
Zonotrichia_capensis,a,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.66666667,29.16666667,17,k,53.66666667,29.16666667,17,k
,b,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.16666667,11.66666667,18,k,,,,
,b,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.61666667,15.16666667,19,k,,,,
,b,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
,b,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
,b,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,
,b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,b,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,b,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,,,,,,,,
,b,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,b,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,
,b,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,
,b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,b,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,b,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,b,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
